po_id,supplier_id,site_id,part_id,order_date,promised_date,receipt_date,ordered_qty,received_qty,delivery_delay_days,late_delivery,actual_lead_time_days,lead_time_days_x,lead_time_days_y,lead_time_days,lead_time_variance_days,otif
PO000064,SUP004,SITE05,P00001,2024-01-29,2024-02-24,2024-02-21,7,7,-3,0,23,27,27,27,-4,1
PO000065,SUP004,SITE05,P00001,2024-04-22,2024-05-14,2024-05-11,5,5,-3,0,19,27,27,27,-8,1
PO000066,SUP004,SITE05,P00001,2024-05-27,2024-06-21,2024-06-19,7,6,-2,0,23,27,27,27,-4,0
PO000067,SUP004,SITE05,P00001,2024-06-10,2024-07-13,2024-07-12,11,11,-1,0,32,27,27,27,5,1
PO000068,SUP004,SITE05,P00001,2024-07-22,2024-08-17,2024-08-18,8,8,1,1,27,27,27,27,0,0
PO000069,SUP004,SITE05,P00001,2024-07-29,2024-08-29,2024-08-31,2,2,2,1,33,27,27,27,6,0
PO000070,SUP004,SITE05,P00001,2024-12-23,2025-01-19,2025-01-19,10,10,0,0,27,27,27,27,0,1
PO000071,SUP004,SITE06,P00001,2022-05-23,2022-06-22,2022-06-20,13,13,-2,0,28,27,27,27,1,1
PO000072,SUP004,SITE06,P00001,2022-06-13,2022-07-07,2022-07-04,6,6,-3,0,21,27,27,27,-6,1
PO000073,SUP004,SITE06,P00001,2022-07-25,2022-08-23,2022-08-24,37,37,1,1,30,27,27,27,3,0
PO000074,SUP004,SITE06,P00001,2022-08-15,2022-09-10,2022-09-13,16,16,3,1,29,27,27,27,2,0
PO000075,SUP004,SITE06,P00001,2022-08-29,2022-09-27,2022-09-24,7,7,-3,0,26,27,27,27,-1,1
PO000076,SUP004,SITE06,P00001,2022-12-12,2023-01-07,2023-01-04,5,5,-3,0,23,27,27,27,-4,1
PO000077,SUP004,SITE06,P00001,2023-02-13,2023-03-12,2023-03-12,12,12,0,0,27,27,27,27,0,1
PO000078,SUP004,SITE06,P00001,2023-02-20,2023-03-23,2023-03-22,14,14,-1,0,30,27,27,27,3,1
PO000079,SUP004,SITE06,P00001,2023-03-06,2023-04-01,2023-03-31,9,9,-1,0,25,27,27,27,-2,1
PO000080,SUP004,SITE06,P00001,2023-05-15,2023-06-11,2023-06-11,13,13,0,0,27,27,27,27,0,1
PO000081,SUP004,SITE06,P00001,2023-05-29,2023-06-24,2023-06-24,6,6,0,0,26,27,27,27,-1,1
PO000082,SUP004,SITE06,P00001,2023-06-26,2023-07-27,2023-07-28,7,7,1,1,32,27,27,27,5,0
PO000083,SUP004,SITE06,P00001,2023-07-17,2023-08-19,2023-08-23,6,6,4,1,37,27,27,27,10,0
PO000084,SUP004,SITE06,P00001,2023-09-04,2023-09-30,2023-10-02,12,11,2,1,28,27,27,27,1,0
PO000085,SUP004,SITE06,P00001,2024-06-24,2024-07-21,2024-07-24,6,6,3,1,30,27,27,27,3,0
PO000086,SUP004,SITE06,P00001,2024-11-18,2024-12-18,2024-12-21,6,6,3,1,33,27,27,27,6,0
PO000087,SUP004,SITE06,P00001,2024-12-02,2024-12-29,2024-12-31,10,10,2,1,29,27,27,27,2,0
PO000088,SUP028,SITE01,P00002,2022-04-04,2022-05-05,2022-05-08,15,15,3,1,34,31,31,31,3,0
PO000089,SUP028,SITE01,P00002,2022-04-18,2022-05-24,2022-05-23,7,7,-1,0,35,31,31,31,4,1
PO000090,SUP028,SITE01,P00002,2022-04-25,2022-05-27,2022-05-24,5,5,-3,0,29,31,31,31,-2,1
PO000091,SUP028,SITE01,P00002,2022-07-18,2022-08-18,2022-08-21,32,32,3,1,34,31,31,31,3,0
PO000092,SUP028,SITE01,P00002,2022-08-15,2022-09-12,2022-09-09,5,5,-3,0,25,31,31,31,-6,1
PO000093,SUP028,SITE01,P00002,2022-10-31,2022-11-30,2022-11-28,9,9,-2,0,28,31,31,31,-3,1
PO000094,SUP028,SITE01,P00002,2022-11-14,2022-12-13,2022-12-10,12,12,-3,0,26,31,31,31,-5,1
PO000095,SUP028,SITE01,P00002,2022-12-19,2023-01-20,2023-01-17,10,10,-3,0,29,31,31,31,-2,1
PO000096,SUP028,SITE01,P00002,2023-01-23,2023-02-21,2023-02-21,7,7,0,0,29,31,31,31,-2,1
PO000097,SUP028,SITE01,P00002,2023-04-24,2023-05-26,2023-05-31,26,26,5,1,37,31,31,31,6,0
PO000098,SUP028,SITE01,P00002,2023-05-08,2023-06-08,2023-06-05,18,18,-3,0,28,31,31,31,-3,1
PO000099,SUP028,SITE01,P00002,2023-05-15,2023-06-10,2023-06-10,8,8,0,0,26,31,31,31,-5,1
PO000100,SUP028,SITE01,P00002,2023-10-02,2023-10-31,2023-11-04,8,8,4,1,33,31,31,31,2,0
PO000101,SUP028,SITE01,P00002,2023-11-20,2023-12-22,2023-12-23,12,12,1,1,33,31,31,31,2,0
PO000102,SUP028,SITE01,P00002,2023-12-25,2024-01-27,2024-01-31,10,10,4,1,37,31,31,31,6,0
PO000103,SUP028,SITE01,P00002,2024-01-15,2024-02-14,2024-02-15,6,6,1,1,31,31,31,31,0,0
PO000104,SUP028,SITE01,P00002,2024-02-12,2024-03-14,2024-03-15,21,21,1,1,32,31,31,31,1,0
PO000105,SUP028,SITE01,P00002,2024-03-04,2024-03-29,2024-03-31,6,6,2,1,27,31,31,31,-4,0
PO000106,SUP028,SITE01,P00002,2024-03-18,2024-04-18,2024-04-15,4,4,-3,0,28,31,31,31,-3,1
PO000107,SUP028,SITE01,P00002,2024-04-01,2024-05-07,2024-05-11,15,15,4,1,40,31,31,31,9,0
PO000108,SUP028,SITE01,P00002,2024-06-24,2024-07-30,2024-07-30,11,11,0,0,36,31,31,31,5,1
PO000109,SUP028,SITE01,P00002,2024-10-14,2024-11-14,2024-11-11,11,11,-3,0,28,31,31,31,-3,1
PO000110,SUP028,SITE02,P00002,2022-01-03,2022-02-04,2022-02-05,51,51,1,1,33,31,31,31,2,0
PO000111,SUP028,SITE02,P00002,2022-01-10,2022-02-12,2022-02-15,19,19,3,1,36,31,31,31,5,0
PO000112,SUP028,SITE02,P00002,2022-01-17,2022-02-18,2022-02-18,30,24,0,0,32,31,31,31,1,0
PO000113,SUP028,SITE02,P00002,2022-01-31,2022-02-28,2022-02-28,14,14,0,0,28,31,31,31,-3,1
PO000114,SUP028,SITE02,P00002,2022-03-07,2022-04-05,2022-04-02,83,83,-3,0,26,31,31,31,-5,1
PO000115,SUP028,SITE02,P00002,2022-04-04,2022-05-06,2022-05-08,25,25,2,1,34,31,31,31,3,0
PO000116,SUP028,SITE02,P00002,2022-06-06,2022-07-03,2022-06-30,33,33,-3,0,24,31,31,31,-7,1
PO000117,SUP028,SITE02,P00002,2022-06-20,2022-07-19,2022-07-17,22,22,-2,0,27,31,31,31,-4,1
PO000118,SUP028,SITE02,P00002,2022-06-27,2022-07-30,2022-08-05,20,20,6,1,39,31,31,31,8,0
PO000119,SUP028,SITE02,P00002,2022-08-08,2022-09-01,2022-09-02,26,22,1,1,25,31,31,31,-6,0
PO000120,SUP028,SITE02,P00002,2022-08-22,2022-09-17,2022-09-14,15,15,-3,0,23,31,31,31,-8,1
PO000121,SUP028,SITE02,P00002,2022-09-05,2022-10-03,2022-10-04,13,13,1,1,29,31,31,31,-2,0
PO000122,SUP028,SITE02,P00002,2022-09-12,2022-10-11,2022-10-12,24,24,1,1,30,31,31,31,-1,0
PO000123,SUP028,SITE02,P00002,2022-10-31,2022-12-02,2022-11-30,79,79,-2,0,30,31,31,31,-1,1
PO000124,SUP028,SITE02,P00002,2022-11-14,2022-12-16,2022-12-14,11,11,-2,0,30,31,31,31,-1,1
PO000125,SUP028,SITE02,P00002,2023-01-30,2023-03-01,2023-02-26,45,39,-3,0,27,31,31,31,-4,0
PO000126,SUP028,SITE02,P00002,2023-06-05,2023-07-05,2023-07-07,34,34,2,1,32,31,31,31,1,0
PO000127,SUP028,SITE02,P00002,2023-07-03,2023-08-03,2023-08-03,24,24,0,0,31,31,31,31,0,1
PO000128,SUP028,SITE02,P00002,2023-07-31,2023-09-02,2023-09-01,15,15,-1,0,32,31,31,31,1,1
PO000129,SUP028,SITE02,P00002,2023-10-02,2023-11-03,2023-11-01,38,38,-2,0,30,31,31,31,-1,1
PO000130,SUP028,SITE02,P00002,2023-10-16,2023-11-16,2023-11-13,15,15,-3,0,28,31,31,31,-3,1
PO000131,SUP028,SITE02,P00002,2023-12-04,2024-01-03,2024-01-01,28,28,-2,0,28,31,31,31,-3,1
PO000132,SUP028,SITE02,P00002,2024-02-12,2024-03-16,2024-03-19,32,32,3,1,36,31,31,31,5,0
PO000133,SUP028,SITE02,P00002,2024-02-19,2024-03-18,2024-03-22,35,35,4,1,32,31,31,31,1,0
PO000134,SUP028,SITE02,P00002,2024-04-08,2024-05-11,2024-05-12,69,69,1,1,34,31,31,31,3,0
PO000135,SUP028,SITE02,P00002,2024-04-22,2024-05-22,2024-05-22,13,13,0,0,30,31,31,31,-1,1
PO000136,SUP028,SITE02,P00002,2024-07-01,2024-07-28,2024-07-25,25,25,-3,0,24,31,31,31,-7,1
PO000137,SUP028,SITE02,P00002,2024-07-08,2024-08-08,2024-08-08,37,37,0,0,31,31,31,31,0,1
PO000138,SUP028,SITE02,P00002,2024-07-15,2024-08-13,2024-08-13,31,31,0,0,29,31,31,31,-2,1
PO000139,SUP028,SITE02,P00002,2024-08-19,2024-09-19,2024-09-16,20,20,-3,0,28,31,31,31,-3,1
PO000140,SUP028,SITE02,P00002,2024-10-28,2024-11-28,2024-11-28,52,52,0,0,31,31,31,31,0,1
PO000141,SUP028,SITE02,P00002,2024-11-04,2024-12-04,2024-12-05,20,20,1,1,31,31,31,31,0,0
PO000142,SUP028,SITE02,P00002,2024-11-11,2024-12-13,2024-12-15,26,26,2,1,34,31,31,31,3,0
PO000143,SUP028,SITE02,P00002,2024-11-18,2024-12-20,2024-12-19,32,32,-1,0,31,31,31,31,0,1
PO000144,SUP028,SITE02,P00002,2024-12-16,2025-01-12,2025-01-11,17,17,-1,0,26,31,31,31,-5,1
PO000145,SUP028,SITE03,P00002,2022-01-17,2022-02-17,2022-02-14,29,29,-3,0,28,31,31,31,-3,1
PO000146,SUP028,SITE03,P00002,2022-02-14,2022-03-16,2022-03-13,25,25,-3,0,27,31,31,31,-4,1
PO000147,SUP028,SITE03,P00002,2022-03-28,2022-05-04,2022-05-08,61,61,4,1,41,31,31,31,10,0
PO000148,SUP028,SITE03,P00002,2022-04-25,2022-05-29,2022-05-30,57,53,1,1,35,31,31,31,4,0
PO000149,SUP028,SITE03,P00002,2022-05-09,2022-06-09,2022-06-10,22,22,1,1,32,31,31,31,1,0
PO000150,SUP028,SITE03,P00002,2022-07-04,2022-08-01,2022-08-02,12,12,1,1,29,31,31,31,-2,0
PO000151,SUP028,SITE03,P00002,2022-07-11,2022-08-12,2022-08-16,19,19,4,1,36,31,31,31,5,0
PO000152,SUP028,SITE03,P00002,2022-08-08,2022-09-10,2022-09-07,41,41,-3,0,30,31,31,31,-1,1
PO000153,SUP028,SITE03,P00002,2022-09-26,2022-11-01,2022-10-31,35,35,-1,0,35,31,31,31,4,1
PO000154,SUP028,SITE03,P00002,2022-10-17,2022-11-18,2022-11-15,224,224,-3,0,29,31,31,31,-2,1
PO000155,SUP028,SITE03,P00002,2022-11-14,2022-12-14,2022-12-13,62,62,-1,0,29,31,31,31,-2,1
PO000156,SUP028,SITE03,P00002,2023-01-16,2023-02-14,2023-02-12,40,40,-2,0,27,31,31,31,-4,1
PO000157,SUP028,SITE03,P00002,2023-01-23,2023-02-24,2023-03-01,19,19,5,1,37,31,31,31,6,0
PO000158,SUP028,SITE03,P00002,2023-02-06,2023-03-05,2023-03-02,72,72,-3,0,24,31,31,31,-7,1
PO000159,SUP028,SITE03,P00002,2023-05-01,2023-06-02,2023-05-31,48,48,-2,0,30,31,31,31,-1,1
PO000160,SUP028,SITE03,P00002,2023-05-22,2023-06-25,2023-06-26,51,51,1,1,35,31,31,31,4,0
PO000161,SUP028,SITE03,P00002,2023-06-12,2023-07-11,2023-07-14,103,103,3,1,32,31,31,31,1,0
PO000162,SUP028,SITE03,P00002,2023-09-04,2023-10-04,2023-10-07,22,20,3,1,33,31,31,31,2,0
PO000163,SUP028,SITE03,P00002,2023-09-11,2023-10-13,2023-10-15,14,14,2,1,34,31,31,31,3,0
PO000164,SUP028,SITE03,P00002,2023-10-02,2023-11-02,2023-11-03,39,39,1,1,32,31,31,31,1,0
PO000165,SUP028,SITE03,P00002,2023-11-27,2024-01-01,2024-01-06,50,50,5,1,40,31,31,31,9,0
PO000166,SUP028,SITE03,P00002,2023-12-25,2024-01-25,2024-01-26,36,36,1,1,32,31,31,31,1,0
PO000167,SUP028,SITE03,P00002,2024-02-19,2024-03-20,2024-03-19,61,61,-1,0,29,31,31,31,-2,1
PO000168,SUP028,SITE03,P00002,2024-03-11,2024-04-11,2024-04-11,27,27,0,0,31,31,31,31,0,1
PO000169,SUP028,SITE03,P00002,2024-04-08,2024-05-04,2024-05-06,33,33,2,1,28,31,31,31,-3,0
PO000170,SUP028,SITE03,P00002,2024-04-15,2024-05-17,2024-05-16,30,30,-1,0,31,31,31,31,0,1
PO000171,SUP028,SITE03,P00002,2024-07-15,2024-08-16,2024-08-15,57,57,-1,0,31,31,31,31,0,1
PO000172,SUP028,SITE03,P00002,2024-07-22,2024-08-23,2024-08-21,49,49,-2,0,30,31,31,31,-1,1
PO000173,SUP028,SITE03,P00002,2024-08-05,2024-09-06,2024-09-04,19,19,-2,0,30,31,31,31,-1,1
PO000174,SUP028,SITE03,P00002,2024-08-26,2024-09-28,2024-10-02,31,31,4,1,37,31,31,31,6,0
PO000175,SUP028,SITE03,P00002,2024-09-23,2024-10-22,2024-10-24,26,26,2,1,31,31,31,31,0,0
PO000176,SUP028,SITE03,P00002,2024-09-30,2024-11-02,2024-11-06,17,12,4,1,37,31,31,31,6,0
PO000177,SUP028,SITE03,P00002,2024-10-14,2024-11-10,2024-11-08,27,17,-2,0,25,31,31,31,-6,0
PO000178,SUP028,SITE03,P00002,2024-12-02,2024-12-31,2024-12-28,47,47,-3,0,26,31,31,31,-5,1
PO000179,SUP028,SITE03,P00002,2024-12-23,2025-01-26,2025-01-26,70,70,0,0,34,31,31,31,3,1
PO000180,SUP028,SITE04,P00002,2022-01-03,2022-02-01,2022-01-31,35,28,-1,0,28,31,31,31,-3,0
PO000181,SUP028,SITE04,P00002,2022-02-07,2022-03-16,2022-03-15,36,36,-1,0,36,31,31,31,5,1
PO000182,SUP028,SITE04,P00002,2022-02-14,2022-03-20,2022-03-18,62,62,-2,0,32,31,31,31,1,1
PO000183,SUP028,SITE04,P00002,2022-02-21,2022-03-24,2022-03-22,51,51,-2,0,29,31,31,31,-2,1
PO000184,SUP028,SITE04,P00002,2022-03-14,2022-04-18,2022-04-16,29,29,-2,0,33,31,31,31,2,1
PO000185,SUP028,SITE04,P00002,2022-04-18,2022-05-21,2022-05-18,31,31,-3,0,30,31,31,31,-1,1
PO000186,SUP028,SITE04,P00002,2022-05-02,2022-06-03,2022-06-02,12,12,-1,0,31,31,31,31,0,1
PO000187,SUP028,SITE04,P00002,2022-05-16,2022-06-17,2022-06-17,32,32,0,0,32,31,31,31,1,1
PO000188,SUP028,SITE04,P00002,2022-06-20,2022-07-23,2022-07-25,160,160,2,1,35,31,31,31,4,0
PO000189,SUP028,SITE04,P00002,2022-07-04,2022-08-03,2022-08-01,25,25,-2,0,28,31,31,31,-3,1
PO000190,SUP028,SITE04,P00002,2022-07-11,2022-08-09,2022-08-12,24,20,3,1,32,31,31,31,1,0
PO000191,SUP028,SITE04,P00002,2022-07-18,2022-08-19,2022-08-19,35,35,0,0,32,31,31,31,1,1
PO000192,SUP028,SITE04,P00002,2022-11-21,2022-12-20,2022-12-18,54,54,-2,0,27,31,31,31,-4,1
PO000193,SUP028,SITE04,P00002,2022-11-28,2023-01-02,2023-01-02,41,37,0,0,35,31,31,31,4,0
PO000194,SUP028,SITE04,P00002,2022-12-05,2023-01-04,2023-01-03,29,29,-1,0,29,31,31,31,-2,1
PO000195,SUP028,SITE04,P00002,2022-12-12,2023-01-13,2023-01-15,62,62,2,1,34,31,31,31,3,0
PO000196,SUP028,SITE04,P00002,2022-12-19,2023-01-20,2023-01-25,41,41,5,1,37,31,31,31,6,0
PO000197,SUP028,SITE04,P00002,2023-02-13,2023-03-18,2023-03-15,71,71,-3,0,30,31,31,31,-1,1
PO000198,SUP028,SITE04,P00002,2023-02-27,2023-03-30,2023-03-27,52,52,-3,0,28,31,31,31,-3,1
PO000199,SUP028,SITE04,P00002,2023-03-27,2023-04-26,2023-04-23,36,36,-3,0,27,31,31,31,-4,1
PO000200,SUP028,SITE04,P00002,2023-04-17,2023-05-21,2023-05-20,26,26,-1,0,33,31,31,31,2,1
PO000201,SUP028,SITE04,P00002,2023-05-15,2023-06-18,2023-06-16,19,19,-2,0,32,31,31,31,1,1
PO000202,SUP028,SITE04,P00002,2023-05-29,2023-07-01,2023-06-29,27,17,-2,0,31,31,31,31,0,0
PO000203,SUP028,SITE04,P00002,2023-06-12,2023-07-14,2023-07-16,19,19,2,1,34,31,31,31,3,0
PO000204,SUP028,SITE04,P00002,2023-08-14,2023-09-15,2023-09-15,22,22,0,0,32,31,31,31,1,1
PO000205,SUP028,SITE04,P00002,2023-09-04,2023-10-02,2023-10-04,28,28,2,1,30,31,31,31,-1,0
PO000206,SUP028,SITE04,P00002,2023-11-06,2023-12-04,2023-12-04,39,39,0,0,28,31,31,31,-3,1
PO000207,SUP028,SITE04,P00002,2023-12-25,2024-01-24,2024-01-23,26,26,-1,0,29,31,31,31,-2,1
PO000208,SUP028,SITE04,P00002,2024-01-01,2024-02-02,2024-02-03,11,11,1,1,33,31,31,31,2,0
PO000209,SUP028,SITE04,P00002,2024-03-11,2024-04-10,2024-04-07,60,60,-3,0,27,31,31,31,-4,1
PO000210,SUP028,SITE04,P00002,2024-04-29,2024-05-25,2024-06-01,24,24,7,1,33,31,31,31,2,0
PO000211,SUP028,SITE04,P00002,2024-07-29,2024-08-31,2024-08-28,16,16,-3,0,30,31,31,31,-1,1
PO000212,SUP028,SITE04,P00002,2024-11-25,2024-12-24,2024-12-25,50,50,1,1,30,31,31,31,-1,0
PO000213,SUP028,SITE04,P00002,2024-12-02,2024-12-31,2024-12-28,25,25,-3,0,26,31,31,31,-5,1
PO000214,SUP028,SITE04,P00002,2024-12-09,2025-01-09,2025-01-09,48,48,0,0,31,31,31,31,0,1
PO000215,SUP028,SITE05,P00002,2022-01-10,2022-02-06,2022-02-06,24,24,0,0,27,31,31,31,-4,1
PO000216,SUP028,SITE05,P00002,2022-01-17,2022-02-17,2022-02-19,16,16,2,1,33,31,31,31,2,0
PO000217,SUP028,SITE05,P00002,2022-05-23,2022-06-23,2022-06-27,5,5,4,1,35,31,31,31,4,0
PO000218,SUP028,SITE05,P00002,2022-06-13,2022-07-13,2022-07-13,18,18,0,0,30,31,31,31,-1,1
PO000219,SUP028,SITE05,P00002,2022-06-20,2022-07-16,2022-07-16,32,32,0,0,26,31,31,31,-5,1
PO000220,SUP028,SITE05,P00002,2022-07-11,2022-08-09,2022-08-12,27,27,3,1,32,31,31,31,1,0
PO000221,SUP028,SITE05,P00002,2022-08-29,2022-09-28,2022-09-27,9,9,-1,0,29,31,31,31,-2,1
PO000222,SUP028,SITE05,P00002,2022-09-05,2022-10-09,2022-10-06,5,5,-3,0,31,31,31,31,0,1
PO000223,SUP028,SITE05,P00002,2022-09-12,2022-10-12,2022-10-11,27,27,-1,0,29,31,31,31,-2,1
PO000224,SUP028,SITE05,P00002,2022-10-10,2022-11-06,2022-11-04,12,12,-2,0,25,31,31,31,-6,1
PO000225,SUP028,SITE05,P00002,2022-12-19,2023-01-20,2023-01-19,18,18,-1,0,31,31,31,31,0,1
PO000226,SUP028,SITE05,P00002,2023-02-20,2023-03-22,2023-03-21,43,29,-1,0,29,31,31,31,-2,0
