supplier_id,late_delivery_rate,delivery_reliability,avg_lead_time_variance,lead_time_std,lead_time_instability,quality_incident_rate_pct,critical_parts_supplied,critical_part_share,critical_exposure_index,total_order_quantity,order_quantity_share,delivery_risk_score,lead_time_risk_score,quality_risk_score,performance_risk_score,critical_exposure_score,order_volume_exposure_score,business_criticality_score,supplier_priority_score,risk_category
SUP029,42.69,57.31,0.36,7.24,-0.4655855560445389,1.02,1,0.125,-0.1696973347635691,8889,2.0448632271985905,25.0,32.5,32.5,28.75,53.75,42.5,49.25,36.95,Low
SUP030,42.1,57.9,0.19,6.06,-0.9410635806790444,1.11,3,0.25,0.9417195959153262,16462,3.786988237838136,15.0,17.5,35.0,20.625,85.0,87.5,86.0,46.775,Medium
SUP031,44.33,55.67,0.41,8.76,0.079291899548621,0.5,1,0.1111111111111111,-0.2092881468793242,8848,2.035431413460808,42.5,57.49999999999999,12.5,38.75,46.25,40.0,43.75,40.75,Medium
SUP032,38.78,61.22,-0.11,6.35,-0.9609398733059912,1.13,0,0.0,-0.9035644546239148,5007,1.151831497196911,2.5,15.0,38.75,14.6875,21.25,12.5,17.75,15.912500000000001,Low
SUP033,96.35,3.6500000000000057,6.47,10.09,2.96289759227281,1.74,1,0.1428571428571428,-0.1187948620433126,8272,1.9029259326568495,100.0,100.0,87.5,96.875,61.25000000000001,30.0,48.75,77.625,Critical
SUP034,44.46,55.54,0.4,7.91,-0.2182240898430054,1.73,2,0.2857142857142857,0.6659747305372893,6349,1.460550863931134,45.0,47.5,85.0,55.625,75.0,20.0,53.0,54.575,High
SUP035,43.78,56.22,0.21,6.32,-0.8432812676707218,0.43,1,0.1428571428571428,-0.1187948620433126,10611,2.440999404185425,35.0,20.0,7.5,24.375,61.25000000000001,60.0,60.75,38.925,Medium
SUP036,42.14,57.86,0.39,7.29,-0.4363182576178029,0.83,4,0.5,2.031904024817467,15202,3.497132498579477,20.0,35.0,20.0,23.75,97.5,80.0,90.5,50.45,High
SUP037,44.18,55.82,0.36,5.04,-1.225272545422906,1.43,1,0.125,-0.1696973347635691,10929,2.51415347171261,40.0,7.5,57.49999999999999,36.25,53.75,62.5,57.25,44.650000000000006,Medium
SUP038,67.43,32.56999999999999,1.86,6.47,-0.1313917507383099,1.55,1,0.125,-0.1696973347635691,18714,4.305047860703613,62.5,50.0,70.0,61.25,53.75,95.0,70.25,64.85,High
SUP039,70.26,29.739999999999995,2.35,8.89,0.9002914597635219,1.63,2,0.5,1.2768044031803676,2342,0.5387636042410955,90.0,87.5,75.0,85.625,88.75,2.5,54.25,73.075,Critical
SUP040,66.26,33.739999999999995,1.99,7.57,0.3004590457552238,1.81,1,0.0909090909090909,-0.2668747826840589,16905,3.888897835053681,52.5,75.0,91.25,67.8125,42.5,92.5,62.5,65.6875,High
