po_id,supplier_id,site_id,part_id,order_date,promised_date,receipt_date,ordered_qty,received_qty
PO000054,SUP004,SITE04,P00001,2024-04-15,2024-05-12,2024-05-11,13,13
PO000055,SUP004,SITE04,P00001,2024-11-25,2024-12-22,2024-12-19,16,16
PO000056,SUP004,SITE04,P00001,2024-12-09,2025-01-03,2025-01-02,11,11
PO000057,SUP004,SITE05,P00001,2022-05-02,2022-05-24,2022-05-27,7,7
PO000058,SUP004,SITE05,P00001,2022-09-19,2022-10-18,2022-10-19,5,5
PO000059,SUP004,SITE05,P00001,2022-12-05,2022-12-31,2023-01-01,8,6
PO000060,SUP004,SITE05,P00001,2023-01-02,2023-01-29,2023-01-30,6,6
PO000061,SUP004,SITE05,P00001,2023-02-27,2023-03-28,2023-04-01,28,28
PO000062,SUP004,SITE05,P00001,2023-07-17,2023-08-16,2023-08-19,3,3
PO000063,SUP004,SITE05,P00001,2023-09-25,2023-10-21,2023-10-19,8,8
PO000064,SUP004,SITE05,P00001,2024-01-29,2024-02-24,2024-02-21,7,7
PO000065,SUP004,SITE05,P00001,2024-04-22,2024-05-14,2024-05-11,5,5
PO000066,SUP004,SITE05,P00001,2024-05-27,2024-06-21,2024-06-19,7,6
PO000067,SUP004,SITE05,P00001,2024-06-10,2024-07-13,2024-07-12,11,11
PO000068,SUP004,SITE05,P00001,2024-07-22,2024-08-17,2024-08-18,8,8
PO000069,SUP004,SITE05,P00001,2024-07-29,2024-08-29,2024-08-31,2,2
PO000070,SUP004,SITE05,P00001,2024-12-23,2025-01-19,2025-01-19,10,10
PO000071,SUP004,SITE06,P00001,2022-05-23,2022-06-22,2022-06-20,13,13
PO000072,SUP004,SITE06,P00001,2022-06-13,2022-07-07,2022-07-04,6,6
PO000073,SUP004,SITE06,P00001,2022-07-25,2022-08-23,2022-08-24,37,37
PO000074,SUP004,SITE06,P00001,2022-08-15,2022-09-10,2022-09-13,16,16
PO000075,SUP004,SITE06,P00001,2022-08-29,2022-09-27,2022-09-24,7,7
PO000076,SUP004,SITE06,P00001,2022-12-12,2023-01-07,2023-01-04,5,5
PO000077,SUP004,SITE06,P00001,2023-02-13,2023-03-12,2023-03-12,12,12
PO000078,SUP004,SITE06,P00001,2023-02-20,2023-03-23,2023-03-22,14,14
PO000079,SUP004,SITE06,P00001,2023-03-06,2023-04-01,2023-03-31,9,9
PO000080,SUP004,SITE06,P00001,2023-05-15,2023-06-11,2023-06-11,13,13
PO000081,SUP004,SITE06,P00001,2023-05-29,2023-06-24,2023-06-24,6,6
PO000082,SUP004,SITE06,P00001,2023-06-26,2023-07-27,2023-07-28,7,7
PO000083,SUP004,SITE06,P00001,2023-07-17,2023-08-19,2023-08-23,6,6
PO000084,SUP004,SITE06,P00001,2023-09-04,2023-09-30,2023-10-02,12,11
PO000085,SUP004,SITE06,P00001,2024-06-24,2024-07-21,2024-07-24,6,6
PO000086,SUP004,SITE06,P00001,2024-11-18,2024-12-18,2024-12-21,6,6
PO000087,SUP004,SITE06,P00001,2024-12-02,2024-12-29,2024-12-31,10,10
PO000088,SUP028,SITE01,P00002,2022-04-04,2022-05-05,2022-05-08,15,15
PO000089,SUP028,SITE01,P00002,2022-04-18,2022-05-24,2022-05-23,7,7
PO000090,SUP028,SITE01,P00002,2022-04-25,2022-05-27,2022-05-24,5,5
PO000091,SUP028,SITE01,P00002,2022-07-18,2022-08-18,2022-08-21,32,32
PO000092,SUP028,SITE01,P00002,2022-08-15,2022-09-12,2022-09-09,5,5
PO000093,SUP028,SITE01,P00002,2022-10-31,2022-11-30,2022-11-28,9,9
PO000094,SUP028,SITE01,P00002,2022-11-14,2022-12-13,2022-12-10,12,12
PO000095,SUP028,SITE01,P00002,2022-12-19,2023-01-20,2023-01-17,10,10
PO000096,SUP028,SITE01,P00002,2023-01-23,2023-02-21,2023-02-21,7,7
PO000097,SUP028,SITE01,P00002,2023-04-24,2023-05-26,2023-05-31,26,26
PO000098,SUP028,SITE01,P00002,2023-05-08,2023-06-08,2023-06-05,18,18
PO000099,SUP028,SITE01,P00002,2023-05-15,2023-06-10,2023-06-10,8,8
PO000100,SUP028,SITE01,P00002,2023-10-02,2023-10-31,2023-11-04,8,8
PO000101,SUP028,SITE01,P00002,2023-11-20,2023-12-22,2023-12-23,12,12
PO000102,SUP028,SITE01,P00002,2023-12-25,2024-01-27,2024-01-31,10,10
PO000103,SUP028,SITE01,P00002,2024-01-15,2024-02-14,2024-02-15,6,6
PO000104,SUP028,SITE01,P00002,2024-02-12,2024-03-14,2024-03-15,21,21
PO000105,SUP028,SITE01,P00002,2024-03-04,2024-03-29,2024-03-31,6,6
PO000106,SUP028,SITE01,P00002,2024-03-18,2024-04-18,2024-04-15,4,4
PO000107,SUP028,SITE01,P00002,2024-04-01,2024-05-07,2024-05-11,15,15
PO000108,SUP028,SITE01,P00002,2024-06-24,2024-07-30,2024-07-30,11,11
PO000109,SUP028,SITE01,P00002,2024-10-14,2024-11-14,2024-11-11,11,11
PO000110,SUP028,SITE02,P00002,2022-01-03,2022-02-04,2022-02-05,51,51
PO000111,SUP028,SITE02,P00002,2022-01-10,2022-02-12,2022-02-15,19,19
PO000112,SUP028,SITE02,P00002,2022-01-17,2022-02-18,2022-02-18,30,24
PO000113,SUP028,SITE02,P00002,2022-01-31,2022-02-28,2022-02-28,14,14
PO000114,SUP028,SITE02,P00002,2022-03-07,2022-04-05,2022-04-02,83,83
PO000115,SUP028,SITE02,P00002,2022-04-04,2022-05-06,2022-05-08,25,25
PO000116,SUP028,SITE02,P00002,2022-06-06,2022-07-03,2022-06-30,33,33
PO000117,SUP028,SITE02,P00002,2022-06-20,2022-07-19,2022-07-17,22,22
PO000118,SUP028,SITE02,P00002,2022-06-27,2022-07-30,2022-08-05,20,20
PO000119,SUP028,SITE02,P00002,2022-08-08,2022-09-01,2022-09-02,26,22
PO000120,SUP028,SITE02,P00002,2022-08-22,2022-09-17,2022-09-14,15,15
PO000121,SUP028,SITE02,P00002,2022-09-05,2022-10-03,2022-10-04,13,13
PO000122,SUP028,SITE02,P00002,2022-09-12,2022-10-11,2022-10-12,24,24
PO000123,SUP028,SITE02,P00002,2022-10-31,2022-12-02,2022-11-30,79,79
PO000124,SUP028,SITE02,P00002,2022-11-14,2022-12-16,2022-12-14,11,11
PO000125,SUP028,SITE02,P00002,2023-01-30,2023-03-01,2023-02-26,45,39
PO000126,SUP028,SITE02,P00002,2023-06-05,2023-07-05,2023-07-07,34,34
PO000127,SUP028,SITE02,P00002,2023-07-03,2023-08-03,2023-08-03,24,24
PO000128,SUP028,SITE02,P00002,2023-07-31,2023-09-02,2023-09-01,15,15
PO000129,SUP028,SITE02,P00002,2023-10-02,2023-11-03,2023-11-01,38,38
PO000130,SUP028,SITE02,P00002,2023-10-16,2023-11-16,2023-11-13,15,15
PO000131,SUP028,SITE02,P00002,2023-12-04,2024-01-03,2024-01-01,28,28
PO000132,SUP028,SITE02,P00002,2024-02-12,2024-03-16,2024-03-19,32,32
PO000133,SUP028,SITE02,P00002,2024-02-19,2024-03-18,2024-03-22,35,35
PO000134,SUP028,SITE02,P00002,2024-04-08,2024-05-11,2024-05-12,69,69
PO000135,SUP028,SITE02,P00002,2024-04-22,2024-05-22,2024-05-22,13,13
PO000136,SUP028,SITE02,P00002,2024-07-01,2024-07-28,2024-07-25,25,25
PO000137,SUP028,SITE02,P00002,2024-07-08,2024-08-08,2024-08-08,37,37
PO000138,SUP028,SITE02,P00002,2024-07-15,2024-08-13,2024-08-13,31,31
PO000139,SUP028,SITE02,P00002,2024-08-19,2024-09-19,2024-09-16,20,20
PO000140,SUP028,SITE02,P00002,2024-10-28,2024-11-28,2024-11-28,52,52
PO000141,SUP028,SITE02,P00002,2024-11-04,2024-12-04,2024-12-05,20,20
PO000142,SUP028,SITE02,P00002,2024-11-11,2024-12-13,2024-12-15,26,26
PO000143,SUP028,SITE02,P00002,2024-11-18,2024-12-20,2024-12-19,32,32
PO000144,SUP028,SITE02,P00002,2024-12-16,2025-01-12,2025-01-11,17,17
PO000145,SUP028,SITE03,P00002,2022-01-17,2022-02-17,2022-02-14,29,29
PO000146,SUP028,SITE03,P00002,2022-02-14,2022-03-16,2022-03-13,25,25
PO000147,SUP028,SITE03,P00002,2022-03-28,2022-05-04,2022-05-08,61,61
PO000148,SUP028,SITE03,P00002,2022-04-25,2022-05-29,2022-05-30,57,53
PO000149,SUP028,SITE03,P00002,2022-05-09,2022-06-09,2022-06-10,22,22
PO000150,SUP028,SITE03,P00002,2022-07-04,2022-08-01,2022-08-02,12,12
PO000151,SUP028,SITE03,P00002,2022-07-11,2022-08-12,2022-08-16,19,19
PO000152,SUP028,SITE03,P00002,2022-08-08,2022-09-10,2022-09-07,41,41
PO000153,SUP028,SITE03,P00002,2022-09-26,2022-11-01,2022-10-31,35,35
PO000154,SUP028,SITE03,P00002,2022-10-17,2022-11-18,2022-11-15,224,224
PO000155,SUP028,SITE03,P00002,2022-11-14,2022-12-14,2022-12-13,62,62
PO000156,SUP028,SITE03,P00002,2023-01-16,2023-02-14,2023-02-12,40,40
PO000157,SUP028,SITE03,P00002,2023-01-23,2023-02-24,2023-03-01,19,19
PO000158,SUP028,SITE03,P00002,2023-02-06,2023-03-05,2023-03-02,72,72
PO000159,SUP028,SITE03,P00002,2023-05-01,2023-06-02,2023-05-31,48,48
PO000160,SUP028,SITE03,P00002,2023-05-22,2023-06-25,2023-06-26,51,51
PO000161,SUP028,SITE03,P00002,2023-06-12,2023-07-11,2023-07-14,103,103
PO000162,SUP028,SITE03,P00002,2023-09-04,2023-10-04,2023-10-07,22,20
PO000163,SUP028,SITE03,P00002,2023-09-11,2023-10-13,2023-10-15,14,14
PO000164,SUP028,SITE03,P00002,2023-10-02,2023-11-02,2023-11-03,39,39
PO000165,SUP028,SITE03,P00002,2023-11-27,2024-01-01,2024-01-06,50,50
PO000166,SUP028,SITE03,P00002,2023-12-25,2024-01-25,2024-01-26,36,36
PO000167,SUP028,SITE03,P00002,2024-02-19,2024-03-20,2024-03-19,61,61
PO000168,SUP028,SITE03,P00002,2024-03-11,2024-04-11,2024-04-11,27,27
PO000169,SUP028,SITE03,P00002,2024-04-08,2024-05-04,2024-05-06,33,33
PO000170,SUP028,SITE03,P00002,2024-04-15,2024-05-17,2024-05-16,30,30
PO000171,SUP028,SITE03,P00002,2024-07-15,2024-08-16,2024-08-15,57,57
PO000172,SUP028,SITE03,P00002,2024-07-22,2024-08-23,2024-08-21,49,49
PO000173,SUP028,SITE03,P00002,2024-08-05,2024-09-06,2024-09-04,19,19
PO000174,SUP028,SITE03,P00002,2024-08-26,2024-09-28,2024-10-02,31,31
PO000175,SUP028,SITE03,P00002,2024-09-23,2024-10-22,2024-10-24,26,26
PO000176,SUP028,SITE03,P00002,2024-09-30,2024-11-02,2024-11-06,17,12
PO000177,SUP028,SITE03,P00002,2024-10-14,2024-11-10,2024-11-08,27,17
PO000178,SUP028,SITE03,P00002,2024-12-02,2024-12-31,2024-12-28,47,47
PO000179,SUP028,SITE03,P00002,2024-12-23,2025-01-26,2025-01-26,70,70
PO000180,SUP028,SITE04,P00002,2022-01-03,2022-02-01,2022-01-31,35,28
PO000181,SUP028,SITE04,P00002,2022-02-07,2022-03-16,2022-03-15,36,36
PO000182,SUP028,SITE04,P00002,2022-02-14,2022-03-20,2022-03-18,62,62
PO000183,SUP028,SITE04,P00002,2022-02-21,2022-03-24,2022-03-22,51,51
PO000184,SUP028,SITE04,P00002,2022-03-14,2022-04-18,2022-04-16,29,29
PO000185,SUP028,SITE04,P00002,2022-04-18,2022-05-21,2022-05-18,31,31
PO000186,SUP028,SITE04,P00002,2022-05-02,2022-06-03,2022-06-02,12,12
PO000187,SUP028,SITE04,P00002,2022-05-16,2022-06-17,2022-06-17,32,32
PO000188,SUP028,SITE04,P00002,2022-06-20,2022-07-23,2022-07-25,160,160
PO000189,SUP028,SITE04,P00002,2022-07-04,2022-08-03,2022-08-01,25,25
PO000190,SUP028,SITE04,P00002,2022-07-11,2022-08-09,2022-08-12,24,20
PO000191,SUP028,SITE04,P00002,2022-07-18,2022-08-19,2022-08-19,35,35
PO000192,SUP028,SITE04,P00002,2022-11-21,2022-12-20,2022-12-18,54,54
PO000193,SUP028,SITE04,P00002,2022-11-28,2023-01-02,2023-01-02,41,37
PO000194,SUP028,SITE04,P00002,2022-12-05,2023-01-04,2023-01-03,29,29
PO000195,SUP028,SITE04,P00002,2022-12-12,2023-01-13,2023-01-15,62,62
PO000196,SUP028,SITE04,P00002,2022-12-19,2023-01-20,2023-01-25,41,41
PO000197,SUP028,SITE04,P00002,2023-02-13,2023-03-18,2023-03-15,71,71
PO000198,SUP028,SITE04,P00002,2023-02-27,2023-03-30,2023-03-27,52,52
PO000199,SUP028,SITE04,P00002,2023-03-27,2023-04-26,2023-04-23,36,36
PO000200,SUP028,SITE04,P00002,2023-04-17,2023-05-21,2023-05-20,26,26
PO000201,SUP028,SITE04,P00002,2023-05-15,2023-06-18,2023-06-16,19,19
PO000202,SUP028,SITE04,P00002,2023-05-29,2023-07-01,2023-06-29,27,17
PO000203,SUP028,SITE04,P00002,2023-06-12,2023-07-14,2023-07-16,19,19
PO000204,SUP028,SITE04,P00002,2023-08-14,2023-09-15,2023-09-15,22,22
PO000205,SUP028,SITE04,P00002,2023-09-04,2023-10-02,2023-10-04,28,28
PO000206,SUP028,SITE04,P00002,2023-11-06,2023-12-04,2023-12-04,39,39
PO000207,SUP028,SITE04,P00002,2023-12-25,2024-01-24,2024-01-23,26,26
PO000208,SUP028,SITE04,P00002,2024-01-01,2024-02-02,2024-02-03,11,11
PO000209,SUP028,SITE04,P00002,2024-03-11,2024-04-10,2024-04-07,60,60
PO000210,SUP028,SITE04,P00002,2024-04-29,2024-05-25,2024-06-01,24,24
PO000211,SUP028,SITE04,P00002,2024-07-29,2024-08-31,2024-08-28,16,16
PO000212,SUP028,SITE04,P00002,2024-11-25,2024-12-24,2024-12-25,50,50
PO000213,SUP028,SITE04,P00002,2024-12-02,2024-12-31,2024-12-28,25,25
PO000214,SUP028,SITE04,P00002,2024-12-09,2025-01-09,2025-01-09,48,48
PO000215,SUP028,SITE05,P00002,2022-01-10,2022-02-06,2022-02-06,24,24
PO000216,SUP028,SITE05,P00002,2022-01-17,2022-02-17,2022-02-19,16,16
PO000217,SUP028,SITE05,P00002,2022-05-23,2022-06-23,2022-06-27,5,5
PO000218,SUP028,SITE05,P00002,2022-06-13,2022-07-13,2022-07-13,18,18
PO000219,SUP028,SITE05,P00002,2022-06-20,2022-07-16,2022-07-16,32,32
PO000220,SUP028,SITE05,P00002,2022-07-11,2022-08-09,2022-08-12,27,27
PO000221,SUP028,SITE05,P00002,2022-08-29,2022-09-28,2022-09-27,9,9
PO000222,SUP028,SITE05,P00002,2022-09-05,2022-10-09,2022-10-06,5,5
PO000223,SUP028,SITE05,P00002,2022-09-12,2022-10-12,2022-10-11,27,27
PO000224,SUP028,SITE05,P00002,2022-10-10,2022-11-06,2022-11-04,12,12
PO000225,SUP028,SITE05,P00002,2022-12-19,2023-01-20,2023-01-19,18,18
PO000226,SUP028,SITE05,P00002,2023-02-20,2023-03-22,2023-03-21,43,29
PO000227,SUP028,SITE05,P00002,2023-03-06,2023-04-03,2023-03-31,28,28
PO000228,SUP028,SITE05,P00002,2023-03-13,2023-04-11,2023-04-12,9,9
PO000229,SUP028,SITE05,P00002,2023-03-27,2023-04-25,2023-04-23,12,12
PO000230,SUP028,SITE05,P00002,2023-07-24,2023-08-26,2023-08-24,9,9
PO000231,SUP028,SITE05,P00002,2023-09-04,2023-10-04,2023-10-05,24,24
PO000232,SUP028,SITE05,P00002,2023-09-18,2023-10-18,2023-10-16,14,10
PO000233,SUP028,SITE05,P00002,2023-09-25,2023-10-28,2023-10-29,40,40
PO000234,SUP028,SITE05,P00002,2023-11-06,2023-12-13,2023-12-13,19,19
PO000235,SUP028,SITE05,P00002,2023-12-04,2023-12-31,2024-01-02,4,4
PO000236,SUP028,SITE05,P00002,2024-02-05,2024-03-05,2024-03-07,31,31
PO000237,SUP028,SITE05,P00002,2024-02-26,2024-03-29,2024-03-29,9,8
PO000238,SUP028,SITE05,P00002,2024-04-01,2024-05-03,2024-05-08,12,12
PO000239,SUP028,SITE05,P00002,2024-04-15,2024-05-19,2024-05-22,40,40
PO000240,SUP028,SITE05,P00002,2024-04-22,2024-05-24,2024-05-21,10,10
PO000241,SUP028,SITE05,P00002,2024-04-29,2024-05-29,2024-05-30,38,38
PO000242,SUP028,SITE05,P00002,2024-06-03,2024-07-02,2024-07-07,27,27
PO000243,SUP028,SITE05,P00002,2024-07-08,2024-08-09,2024-08-10,10,10
PO000244,SUP028,SITE05,P00002,2024-07-15,2024-08-14,2024-08-14,28,28
PO000245,SUP028,SITE05,P00002,2024-09-02,2024-10-06,2024-10-04,27,27
PO000246,SUP028,SITE05,P00002,2024-09-30,2024-11-01,2024-11-02,38,24
PO000247,SUP028,SITE05,P00002,2024-10-07,2024-11-07,2024-11-07,19,19
PO000248,SUP028,SITE05,P00002,2024-10-21,2024-11-21,2024-11-18,13,13
PO000249,SUP028,SITE06,P00002,2022-01-10,2022-02-06,2022-02-03,46,46
PO000250,SUP028,SITE06,P00002,2022-02-07,2022-03-08,2022-03-06,25,25
PO000251,SUP028,SITE06,P00002,2022-03-21,2022-04-23,2022-04-21,37,26
PO000252,SUP028,SITE06,P00002,2022-04-18,2022-05-19,2022-05-26,44,44
PO000253,SUP028,SITE06,P00002,2022-07-18,2022-08-15,2022-08-12,14,14
PO000254,SUP028,SITE06,P00002,2022-07-25,2022-08-24,2022-08-21,18,18
PO000255,SUP028,SITE06,P00002,2022-08-01,2022-08-30,2022-08-28,51,51
PO000256,SUP028,SITE06,P00002,2022-08-29,2022-09-30,2022-10-04,165,165
PO000257,SUP028,SITE06,P00002,2022-09-12,2022-10-08,2022-10-08,52,52
PO000258,SUP028,SITE06,P00002,2022-10-24,2022-11-24,2022-11-23,62,62
PO000259,SUP028,SITE06,P00002,2022-10-31,2022-12-03,2022-12-04,53,53
PO000260,SUP028,SITE06,P00002,2022-11-07,2022-12-09,2022-12-12,28,28
PO000261,SUP028,SITE06,P00002,2023-01-30,2023-03-01,2023-02-28,31,31
PO000262,SUP028,SITE06,P00002,2023-02-27,2023-03-27,2023-03-29,22,22
PO000263,SUP028,SITE06,P00002,2023-03-06,2023-04-01,2023-03-29,13,13
PO000264,SUP028,SITE06,P00002,2023-03-13,2023-04-11,2023-04-12,112,84
PO000265,SUP028,SITE06,P00002,2023-03-27,2023-04-28,2023-04-27,30,30
PO000266,SUP028,SITE06,P00002,2023-05-22,2023-06-26,2023-06-25,45,31
PO000267,SUP028,SITE06,P00002,2023-10-23,2023-11-26,2023-11-25,26,26
PO000268,SUP028,SITE06,P00002,2024-01-01,2024-02-02,2024-01-31,17,17
PO000269,SUP028,SITE06,P00002,2024-01-15,2024-02-16,2024-02-13,23,23
PO000270,SUP028,SITE06,P00002,2024-02-12,2024-03-10,2024-03-12,60,60
PO000271,SUP028,SITE06,P00002,2024-02-19,2024-03-20,2024-03-24,73,73
PO000272,SUP028,SITE06,P00002,2024-04-08,2024-05-09,2024-05-10,64,57
PO000273,SUP028,SITE06,P00002,2024-04-29,2024-05-27,2024-05-27,39,39
PO000274,SUP028,SITE06,P00002,2024-05-20,2024-06-14,2024-06-13,54,54
PO000275,SUP028,SITE06,P00002,2024-05-27,2024-06-28,2024-06-25,21,21
PO000276,SUP028,SITE06,P00002,2024-06-24,2024-07-29,2024-07-29,32,32
PO000277,SUP028,SITE06,P00002,2024-07-01,2024-08-03,2024-08-06,27,27
PO000278,SUP028,SITE06,P00002,2024-07-08,2024-08-08,2024-08-07,73,73
PO000279,SUP028,SITE06,P00002,2024-09-30,2024-10-31,2024-10-30,38,38
PO000280,SUP028,SITE06,P00002,2024-10-21,2024-11-22,2024-11-26,40,40
PO000281,SUP028,SITE06,P00002,2024-11-11,2024-12-10,2024-12-14,14,14
PO000282,SUP028,SITE06,P00002,2024-12-16,2025-01-14,2025-01-14,83,83
PO000283,SUP028,SITE06,P00002,2024-12-23,2025-01-27,2025-01-26,19,19
PO000284,SUP040,SITE01,P00003,2022-03-14,2022-04-29,2022-05-02,2,2
PO000285,SUP040,SITE01,P00003,2022-05-09,2022-06-27,2022-07-01,8,8
PO000286,SUP040,SITE01,P00003,2022-09-05,2022-10-14,2022-10-15,7,7
PO000287,SUP040,SITE01,P00003,2022-10-17,2022-12-08,2022-12-09,10,10
PO000288,SUP040,SITE01,P00003,2022-11-07,2022-12-23,2022-12-27,11,7
PO000289,SUP040,SITE01,P00003,2022-11-28,2023-01-18,2023-01-21,14,14
PO000290,SUP040,SITE01,P00003,2023-01-30,2023-03-18,2023-03-23,10,7
PO000291,SUP040,SITE01,P00003,2023-04-03,2023-05-18,2023-05-17,8,8
PO000292,SUP040,SITE01,P00003,2023-08-28,2023-10-15,2023-10-15,7,7
PO000293,SUP040,SITE01,P00003,2024-01-15,2024-03-01,2024-03-01,24,24
PO000294,SUP040,SITE01,P00003,2024-03-18,2024-05-03,2024-05-06,6,6
PO000295,SUP040,SITE01,P00003,2024-03-25,2024-05-15,2024-05-20,7,5
PO000296,SUP040,SITE01,P00003,2024-05-20,2024-07-09,2024-07-13,7,5
PO000297,SUP040,SITE01,P00003,2024-06-17,2024-07-28,2024-07-31,10,10
PO000298,SUP040,SITE01,P00003,2024-07-22,2024-09-09,2024-09-11,8,8
PO000299,SUP040,SITE01,P00003,2024-07-29,2024-09-15,2024-09-21,9,9
PO000300,SUP040,SITE01,P00003,2024-09-16,2024-11-07,2024-11-04,5,5
PO000301,SUP040,SITE02,P00003,2022-01-17,2022-03-13,2022-03-18,26,21
PO000302,SUP040,SITE02,P00003,2022-02-21,2022-04-14,2022-04-14,12,12
PO000303,SUP040,SITE02,P00003,2022-03-21,2022-05-07,2022-05-06,9,9
PO000304,SUP040,SITE02,P00003,2022-09-26,2022-11-07,2022-11-08,15,15
PO000305,SUP040,SITE02,P00003,2022-10-03,2022-11-12,2022-11-12,29,29
PO000306,SUP040,SITE02,P00003,2022-10-17,2022-12-12,2022-12-13,31,31
PO000307,SUP040,SITE02,P00003,2022-10-24,2022-12-09,2022-12-09,8,8
PO000308,SUP040,SITE02,P00003,2023-02-06,2023-03-23,2023-03-27,8,8
PO000309,SUP040,SITE02,P00003,2023-02-27,2023-04-25,2023-04-27,35,35
PO000310,SUP040,SITE02,P00003,2023-03-20,2023-05-11,2023-05-16,7,6
PO000311,SUP040,SITE02,P00003,2023-03-27,2023-05-11,2023-05-14,18,18
PO000312,SUP040,SITE02,P00003,2023-06-05,2023-07-25,2023-07-27,12,12
PO000313,SUP040,SITE02,P00003,2023-08-21,2023-10-11,2023-10-12,4,4
PO000314,SUP040,SITE02,P00003,2023-09-18,2023-11-04,2023-11-02,12,12
PO000315,SUP040,SITE02,P00003,2023-11-13,2023-12-28,2024-01-04,17,12
PO000316,SUP040,SITE02,P00003,2023-12-04,2024-01-26,2024-01-29,14,9
