part_id,part_family,criticality_class,unit_cost,lead_time_days,supplier_id_primary,supplier_risk_class,is_repairable,shelf_life_days
P00155,Avionics,A,3795.73,50,SUP013,Medium,No,
P00156,Cabin,B,3884.32,45,SUP011,Low,No,
P00157,LandingGear,B,2503.54,24,SUP019,Low,Yes,
P00158,Structure,B,1883.28,54,SUP024,Medium,No,
P00159,Structure,C,374.56,38,SUP015,Medium,No,
P00160,Hydraulics,B,2045.9,31,SUP017,Low,No,
P00161,Engine,A,4072.98,39,SUP012,Low,Yes,
P00162,LandingGear,B,2948.08,37,SUP009,Medium,No,
P00163,Avionics,C,294.92,44,SUP027,Medium,Yes,
P00164,Engine,C,1442.53,95,SUP033,High,No,
P00165,Electrical,C,1437.31,16,SUP012,Low,No,
P00166,Engine,C,370.19,30,SUP035,Low,No,
P00167,Avionics,C,364.28,56,SUP023,Medium,Yes,
P00168,Engine,A,3707.61,40,SUP007,Low,Yes,
P00169,Structure,B,814.51,42,SUP015,Medium,No,
P00170,Structure,C,508.42,35,SUP001,Low,No,
P00171,Structure,B,977.38,56,SUP002,Medium,No,
P00172,Engine,C,522.73,53,SUP014,Medium,No,
P00173,Structure,B,971.55,31,SUP019,Low,No,
P00174,Hydraulics,C,476.71,35,SUP032,Low,Yes,966
P00175,Cabin,C,906.57,60,SUP006,Medium,No,
P00176,Fasteners,C,600.69,44,SUP034,Low,No,
P00177,Avionics,C,327.7,35,SUP010,Low,Yes,
P00178,Fasteners,C,839.09,58,SUP006,Medium,No,
P00179,Electrical,C,644.05,12,SUP028,Low,No,
P00180,LandingGear,B,2758.93,33,SUP031,Low,No,
P00181,Structure,B,995.65,42,SUP025,Medium,No,
P00182,Engine,C,371.98,53,SUP005,Medium,Yes,
P00183,Avionics,A,3080.58,49,SUP005,Medium,Yes,
P00184,Avionics,B,423.99,44,SUP016,Medium,Yes,
P00185,Hydraulics,C,367.48,25,SUP019,Low,Yes,
P00186,Fasteners,C,964.22,46,SUP040,Medium,No,
P00187,Structure,B,951.17,25,SUP012,Low,No,
P00188,Fasteners,B,3409.48,38,SUP008,Low,No,
P00189,Fasteners,B,2173.19,43,SUP038,Medium,No,
P00190,Structure,A,4230.32,28,SUP007,Low,No,
P00191,LandingGear,C,1101.47,59,SUP002,Medium,No,
P00192,Structure,B,498.61,25,SUP017,Low,No,
P00193,Electrical,B,1404.96,23,SUP017,Low,No,
P00194,Structure,C,368.34,39,SUP025,Medium,No,
P00195,LandingGear,A,8850.56,35,SUP036,Low,Yes,
P00196,Electrical,B,2689.41,43,SUP038,Medium,No,
P00197,Electrical,C,1056.57,19,SUP012,Low,No,
P00198,LandingGear,C,1165.95,37,SUP040,Medium,Yes,
P00199,Cabin,C,1088.55,71,SUP026,Medium,No,
P00200,Hydraulics,C,287.21,41,SUP003,Medium,Yes,
P00201,Cabin,B,1354.83,52,SUP038,Medium,No,
P00202,Engine,C,323.4,69,SUP006,Medium,No,
P00203,Fasteners,C,1309.16,61,SUP024,Medium,No,
P00204,Fasteners,C,1829.42,33,SUP032,Low,No,
P00205,LandingGear,C,926.47,25,SUP010,Low,Yes,
P00206,Fasteners,C,492.96,41,SUP011,Low,No,
P00207,Fasteners,C,651.73,28,SUP020,Low,No,
P00208,Hydraulics,A,2809.54,42,SUP036,Low,No,
P00209,Avionics,C,213.49,52,SUP009,Medium,No,
P00210,Engine,B,1074.18,43,SUP027,Medium,No,
P00211,Fasteners,C,1199.34,34,SUP019,Low,No,
P00212,Fasteners,C,1060.94,50,SUP005,Medium,No,
P00213,Avionics,C,374.67,38,SUP029,Low,No,
P00214,Fasteners,C,933.94,37,SUP034,Low,No,
P00215,Fasteners,B,2286.79,61,SUP024,Medium,No,
P00216,Avionics,C,306.86,29,SUP008,Low,No,
P00217,Fasteners,C,691.28,36,SUP007,Low,No,
P00218,Cabin,B,2340.25,38,SUP017,Low,No,
P00219,Avionics,A,2387.27,53,SUP021,Medium,No,
P00220,Electrical,A,8993.0,47,SUP023,Medium,No,
P00221,Electrical,C,1860.27,24,SUP010,Low,No,
P00222,Fasteners,B,2487.27,56,SUP021,Medium,No,
P00223,Avionics,C,533.73,33,SUP012,Low,Yes,
P00224,Fasteners,B,2857.81,25,SUP028,Low,No,
P00225,LandingGear,C,689.1,22,SUP032,Low,No,
P00226,Hydraulics,B,1134.87,38,SUP027,Medium,Yes,802
P00227,LandingGear,C,739.27,37,SUP001,Low,Yes,
P00228,Fasteners,A,8071.81,49,SUP040,Medium,No,
P00229,Hydraulics,C,486.91,42,SUP001,Low,No,909
P00230,Avionics,C,315.21,53,SUP040,Medium,No,
P00231,Cabin,C,628.39,74,SUP002,Medium,No,
P00232,Engine,C,669.91,69,SUP021,Medium,No,
P00233,Cabin,A,10397.09,61,SUP005,Medium,No,
P00234,Electrical,B,4609.98,27,SUP004,Low,No,638
P00235,Engine,A,5064.85,35,SUP028,Low,Yes,
P00236,Hydraulics,A,6060.44,36,SUP030,Low,Yes,
P00237,Structure,C,191.53,43,SUP005,Medium,No,
P00238,Cabin,C,699.01,53,SUP040,Medium,No,
P00239,Structure,C,273.1,50,SUP013,Medium,No,
P00240,Electrical,C,1112.44,42,SUP013,Medium,No,
P00241,Engine,C,388.21,36,SUP012,Low,Yes,
P00242,Electrical,C,1006.69,22,SUP019,Low,No,823
P00243,LandingGear,A,18478.0,20,SUP008,Low,Yes,
P00244,Hydraulics,B,1043.57,28,SUP017,Low,Yes,437
P00245,LandingGear,C,1245.35,39,SUP009,Medium,Yes,
P00246,LandingGear,C,993.32,33,SUP003,Medium,Yes,
P00247,Electrical,A,9723.56,38,SUP015,Medium,No,1063
P00248,Avionics,C,260.05,39,SUP027,Medium,No,
P00249,Hydraulics,C,495.73,42,SUP031,Low,Yes,653
P00250,Structure,A,4936.4,41,SUP015,Medium,No,
P00251,Hydraulics,B,1971.19,44,SUP013,Medium,No,
P00252,Engine,C,528.44,39,SUP032,Low,Yes,
P00253,Hydraulics,C,520.84,24,SUP028,Low,Yes,
P00254,Hydraulics,B,740.26,34,SUP034,Low,Yes,
P00255,Fasteners,C,1147.41,33,SUP037,Low,No,
P00256,Fasteners,B,4297.61,89,SUP033,High,No,
P00257,Cabin,C,1057.87,54,SUP038,Medium,No,
P00258,LandingGear,B,3032.38,19,SUP017,Low,Yes,
P00259,Fasteners,C,1613.66,50,SUP016,Medium,No,
P00260,Hydraulics,B,1314.97,48,SUP013,Medium,No,
P00261,Electrical,B,4244.5,27,SUP010,Low,No,577
P00262,Structure,C,409.35,31,SUP030,Low,No,
P00263,Structure,B,853.64,38,SUP029,Low,No,
P00264,Structure,A,3692.57,88,SUP033,High,No,
P00265,Hydraulics,B,397.06,34,SUP007,Low,Yes,
P00266,Fasteners,C,1352.93,28,SUP020,Low,No,
P00267,Cabin,C,217.89,58,SUP009,Medium,No,
P00268,Cabin,C,427.4,46,SUP036,Low,No,
P00269,Avionics,B,794.41,42,SUP011,Low,Yes,
P00270,Electrical,B,3295.81,52,SUP006,Medium,No,
P00271,Cabin,A,4616.09,67,SUP023,Medium,No,
P00272,Avionics,C,202.26,48,SUP036,Low,No,
P00273,Fasteners,C,1911.63,31,SUP037,Low,No,
P00274,Avionics,C,219.07,39,SUP004,Low,No,
P00275,Engine,C,1039.59,45,SUP014,Medium,Yes,
P00276,Engine,B,1238.4,41,SUP007,Low,Yes,
P00277,Electrical,C,1230.77,46,SUP013,Medium,No,649
P00278,Fasteners,B,5445.91,22,SUP022,Low,No,
P00279,Fasteners,A,10994.03,33,SUP012,Low,No,
P00280,Cabin,B,1437.7,54,SUP003,Medium,No,
P00281,Fasteners,A,10105.58,62,SUP021,Medium,No,
P00282,Electrical,B,2754.0,32,SUP003,Medium,No,564
P00283,LandingGear,A,5930.81,18,SUP010,Low,Yes,
P00284,Fasteners,B,2827.57,50,SUP001,Low,No,
P00285,Fasteners,C,912.56,43,SUP004,Low,No,
P00286,Electrical,B,3853.73,38,SUP018,Medium,No,881
P00287,Cabin,B,2066.75,39,SUP035,Low,No,
P00288,Electrical,C,966.42,24,SUP031,Low,No,
P00289,Structure,C,356.43,33,SUP004,Low,No,
P00290,LandingGear,C,1164.96,49,SUP002,Medium,Yes,
P00291,Hydraulics,B,1374.28,46,SUP014,Medium,Yes,767
P00292,Engine,C,334.17,49,SUP027,Medium,Yes,
P00293,Hydraulics,B,769.12,43,SUP030,Low,No,
P00294,Cabin,B,3005.67,100,SUP033,High,No,
P00295,Structure,C,320.21,32,SUP014,Medium,No,
P00296,Fasteners,C,720.63,28,SUP007,Low,No,
P00297,LandingGear,C,1258.51,52,SUP002,Medium,Yes,
P00298,Avionics,C,305.2,61,SUP006,Medium,Yes,
P00299,Fasteners,C,692.47,39,SUP003,Medium,No,
P00300,Fasteners,B,3351.06,32,SUP035,Low,No,
